Precip,Air_Temp_Max,Air_Temp_Min,DayOfWeek,Operating_Airline,Dest,DestState,DepDelay,DepDel15,DepTimeBlk,Distance,DistanceGroup,DepDelayBinary
0.11,64,48,4,UA,IAH,TX,32.0,1.0,1100-1159,1635.0,7,1
0.0,72,54,2,DL,LAX,CA,-5.0,0.0,1000-1059,337.0,2,0
0.0,70,53,3,AS,IAD,VA,3.0,0.0,0900-0959,2419.0,10,1
0.0,73,55,6,UA,ORD,IL,5.0,0.0,0800-0859,1846.0,8,1
0.06,55,44,6,OO,LAX,CA,-8.0,0.0,1200-1259,337.0,2,0
0.22,60,47,4,UA,BNA,TN,-5.0,0.0,1000-1059,1969.0,8,0
0.01,67,51,3,WN,LAS,NV,5.0,0.0,1900-1959,414.0,2,1
0.03,63,48,2,AS,JFK,NY,5.0,0.0,1400-1459,2586.0,11,1
0.2,57,44,1,UA,LIH,HI,-6.0,0.0,0800-0859,2447.0,10,0
0.0,73,56,1,OO,BOI,ID,-5.0,0.0,1300-1359,522.0,3,0
0.01,68,52,6,OO,LAX,CA,-1.0,0.0,1900-1959,337.0,2,0
0.07,55,43,3,OO,RNO,NV,12.0,0.0,2200-2259,192.0,1,1
0.0,72,55,2,OO,LAX,CA,-6.0,0.0,1400-1459,337.0,2,0
0.0,71,56,5,AS,SEA,WA,3.0,0.0,1100-1159,679.0,3,1
0.0,70,53,5,UA,HNL,HI,3.0,0.0,1300-1359,2398.0,10,1
0.02,67,50,4,AS,OGG,HI,-4.0,0.0,1100-1159,2338.0,10,0
0.0,71,55,6,UA,LAX,CA,9.0,0.0,1600-1659,337.0,2,1
0.01,71,54,4,UA,EUG,OR,-6.0,0.0,1000-1059,451.0,2,0
0.0,70,53,4,DL,MSP,MN,1.0,0.0,1500-1559,1589.0,7,1
0.06,64,49,7,DL,MSP,MN,-2.0,0.0,1200-1259,1589.0,7,0
0.0,71,55,6,DL,ATL,GA,1.0,0.0,0800-0859,2139.0,9,1
